Model,CV R2,MSE,MAE,R2
LinearRegression,0.8991084404230959,0.012335126996814848,0.07836670218963326,0.9063236969703726
Ridge,0.8991260532110712,0.012339631068689105,0.07832579346229676,0.9062894918258395
Lasso,0.8572417904303608,0.01821232858109576,0.09433147770296707,0.8616906326559584
RandomForest,0.8725941634133848,0.0023749991876845394,0.032909765115859066,0.9819636114279079
GradientBoosting,0.8879264469302033,0.004627633564543341,0.048959498356766724,0.9648564944475907
